"","mammary_gland_non-lactating","skeletal_muscle","dendritic_cells_lymphoid_CD8a+","dendritic_cells_myeloid_CD8a-_","granulocytes_mac1+gr1+","B-cells_marginal_zone","thymocyte_DP_CD4+CD8+","dendritic_plasmacytoid_B220+","spleen","hippocampus","min6","cornea","prostate","Stevens Johnson syndrome (blister cells)","TLR (2h)","TL2","olfactory_bulb","dorsal_root_ganglia","Epidermis","mast_cells_IgE+antigen_1hr","B_cell","ciliary_bodies","umbilical_cord","Th1_Harvard","lens","amygdala","cerebral_cortex_prefrontal","Platelet","dorsal_striatum","spinal_cord","Eosinophil","NK_T-cell","nucleus_accumbens","cerebral_cortex","mammary_gland__lact","thymocyte_SP_CD4+","NK_cells","embryonic_stem_line_V26_2_p16","follicular_B-cells","salivary_gland","Reticulocyte","retina","T-cells_foxP3+","kidney","embryonic_stem_line_Bruce4_p13","intestine_small","T-cells_CD8+","thymocyte_SP_CD8+","lymph_nodes","bone","bone_marrow","CD34plus_cell","CD8plus_T-cell","epidermis","Keratinocyte","cerebellum","retinal_pigment_epithelium","NK_cell","CD3plus_T-cell","hypothalamus","lacrimal_gland","pituitary","placenta","stomach","intestine_large","pancreas","liver","testis","T-cells_CD4+","adipose_white","Normal skin","Allergic contact dermatitis","Psoriasis","IL26d","osteoblast_day21","Atopic dermatitis","osteoblast_day14","osteoblast_day5","3T3-L1","C3H_10T1_2","macrophage_bone_marrow_6hr_LPS","IL17A_TNF_1ng_24h_NHEK_32","IL17A_20ng_24h_NHEK_49","Cutaneous sarcoidosis","adipose_brown","IL15_6h_05-15","ENL2","IL15_24h_05-15","TLR (6h)","mast_cells_IgE","Monocyte","Baf3","ovary","Dermis","Th17","IL22_20ng_4d_NHEK_9","IL17A_TNF_10ng_2h_NHEK_33","bladder","GMT12","NOD2L/TLR2 (24h)","Interferon gamma (24h)","eyecup","Burn","Macrophage","Th1_rankRelative","Th2_rankRelative","Interferon beta (6h)","TLR (24h)","TLR2 (6h)","NOD2L/TLR2 (6h)","Vasc_endothel_cell","Lymph_endothel_cell","mega_erythrocyte_progenitor","GMT3","CD4plus_T-cell","CD138plus_plasma_cell","Neutrophil","IL-15 (24h)","uterus","mast_cells_IgE+antigen_6hr","Interferon beta (2h)","Interferon gamma (6h)","Interferon gamma (2h)","iris","lung","mast_cells","Reversal reaction (leprosy)","Subcutan_adipose","Lepromatous leprosy","heart","Tuberculoid leprosy","Mycosis fungoides","Gamma_Delta_T-cell","Th2_Harvard","common_myeloid_progenitor","granulo_mono_progenitor","neuro2a","adrenal_gland","stem_cells__HSC","nih_3T3","Fibrobast","C2C12","Irritant contact dermatitis","Squamous cell carcinoma","Vitamin D - ATRA","IL6_justRMA","IL-4 (24h)","IFNg_20ng_24h_NHEK_23","IFNg_20ng_24h_NHEK_45","Post-operative wound (3/7 days after injury)","IFNg_24h_NHEK_2","IFNg_10ng_4d_NHEK_12","Acute wound (0h after injury)","IL-4 (6h)","IFNg_24h_NHEK_3","NOD2L (24h)","RR2","IL-10 (6h)","IL4_6h_05-15","IL-10 (24h)","Erythema nodosum leprosum","IL10_24h_05-15","Acne","Non-lesional Acne","microglia","macrophage_peri_LPS_thio_0hrs","macrophage_bone_marrow_0hr","osteoclasts","IFNg_10ng_24h_NHEK_55","IL4_24h_05-15","TLR2 (24h)","TNF_20ng_4h_HaCaT_43","mIMCD-3","IL-15 (6h)","NOD2L (6h)","Discoid Lupus Erythematosus","Vitamin D - 1.25D","Basal cell carcinoma","Regulatory_T-cell","Chancroid","Alopecia areata","Interferon beta (24h)","RAW_264_7","Melanoma","IL10_6h_05-15","macrophage_bone_marrow_2hr_LPS","Dendritic_cell","IGNg_TNF_24h_HaCaT_27","LL2","macrophage_peri_LPS_thio_7hrs","macrophage_bone_marrow_24h_LPS","macrophage_peri_LPS_thio_1hrs"
"CNTR_R1",-0.991253550094552,-0.890930852651419,-1.10575372124513,-1.13609482453239,-1.15109856402661,-0.999166993743001,-0.942408770159651,-1.17838092491074,-1.20836969599458,-1.08110605692638,-1.09332699561042,-1.06791542518691,-1.11563149487724,-0.927472067323601,-0.557509222806309,-0.529664065791938,-0.533070463422329,-0.491015093867451,-0.581695425478106,-0.572403832856995,-0.630605683079128,-0.842935723384054,-0.69968150285365,-0.249912296278094,-0.748061703157495,-0.802342688372565,-0.803511932410457,-0.775069681440736,-0.89371209446955,-0.869164205642033,-0.601917111365425,-0.777995909519565,-0.821434105023256,-0.74825501817176,-0.805325040165214,-1.29858232999008,-1.28077240480492,-1.27462685814176,-1.2360495998516,-1.22858358692165,-1.28493803156391,-1.25719888600897,-1.46141281369888,-1.39238844066203,-1.38316232570704,-1.43423022830598,-1.39399732045817,-1.38936555507607,-1.41283462140462,-1.2462360539097,-1.20684032479302,-1.20254997866998,-1.22392220069059,-1.2171000514775,-0.943252184858984,-0.99429670257717,-1.08566610867416,-1.02554981621398,-1.13598881307295,-1.10197160653056,-1.13175459066373,-1.11282063221015,-1.77725369019026,-1.81648884312574,-1.90411510930942,-1.76461494163668,-1.84828760398024,-1.56407244022575,-1.63694596463534,-1.61511539895188,2.01528132724146,2.00365280553662,1.73970297944686,2.0321309133235,2.11744207631216,2.32819441666195,2.38267651185154,2.88934113331089,2.47143304727185,2.58727551057793,-0.33444396324149,-0.101324763942856,-0.0670035539506168,-0.188346141210935,-0.241169468858767,0.118787764678275,0.01528940042823,-0.0148786547414187,0.0127918951632938,-0.0132479490565726,-0.205186373340673,-0.120712389083145,-0.048666689452379,-0.0769327743203907,-0.0569106394155385,0.245204871063042,0.168982631728927,0.358998818814733,0.348112377325939,-0.000342612862352676,-0.00392049961830059,-0.0249045326183249,0.173216854138145,-0.0993588749671477,0.127804974698493,0.122217547189423,0.145084842586478,0.121629807186376,0.106278412464888,0.21099434950639,0.440799131705615,0.293747206540141,0.300940395861249,0.398486528462402,-0.411381779926794,-0.513441194514208,-0.407888078741575,-0.415000200476056,-0.479724873437572,-0.282024414534743,-0.326871938852106,-0.411101161357701,-0.433480492242942,-0.437989097253051,-0.434414328481205,-0.348805398010898,-0.620865100747467,-0.76080334518641,-0.863266538714909,-0.661671717669877,-0.587979722433759,-0.619402766204078,0.329097351285724,0.438660194612299,0.0830042201426468,0.0558029268451415,-0.150492255232214,-0.137650837712066,-0.214757025538826,1.64320604849571,1.12434387323308,1.29312814758283,1.17946983213953,1.12983152525091,1.19086762302089,1.43552492248544,0.743729995026619,0.910325444537435,0.876174164678704,1.15472862829775,1.12855626975359,0.946720113956868,0.703439404472932,0.765359450735559,0.771205670925016,0.80180712588471,0.8639142511934,0.68784013001541,0.680296167482935,0.680913528334942,0.766896616897374,0.71039406801031,0.87658262059594,0.994796310810861,0.225206121038947,0.514936998668182,0.433397037449738,0.360877404235612,0.400234158551037,0.544216428369034,0.51818593810147,0.622362463893492,0.808426606131225,0.671452005580324,0.610665346538427,0.692987921766233,0.5376920466376,0.733783625744289,0.731312623344212,0.469528237212632,0.496232212046021,0.423435078246903,0.367643429734877,0.317875726506068,0.283634025108406,0.118970166748186,0.192281767923977,0.192910041720337,0.169869698205674,0.269707549121094,-0.224782903415732,0.130687550999908
"CNTR_R2",-0.974569217169867,-0.924753185187491,-1.11797465992917,-1.18170157797835,-1.08842552460358,-0.966046207629664,-0.870352157584531,-1.20979773271286,-1.18923930454263,-1.12547497068423,-1.04018407459223,-1.06891941606745,-1.14618929805951,-0.929664010146635,-0.495773137605644,-0.569812788069028,-0.534270887301231,-0.513664130377433,-0.605641543374121,-0.63001482509198,-0.593501672276708,-0.837884589140363,-0.704901008238798,-0.245844886018282,-0.805744409026804,-0.869288925006075,-0.810974827356305,-0.855446634589491,-0.901661394935162,-0.817298099113221,-0.608464877977617,-0.733375998041579,-0.873808442960538,-0.802871186677692,-0.811687286723393,-1.26782653481738,-1.26552546255081,-1.22071067706651,-1.23923462061081,-1.2392127947221,-1.31583413602115,-1.34456480052022,-1.41024825359281,-1.3757119026976,-1.36947281651141,-1.44007800748749,-1.33179353764234,-1.38056192696677,-1.3047730874227,-1.24899079286298,-1.19261919930816,-1.19376194048119,-1.22508364976822,-1.14572627742051,-0.97565583462908,-1.05202150123184,-1.15822471668954,-1.02699656083687,-1.08175927459555,-1.10273395364327,-1.0701213989384,-1.15133864880239,-1.78177320814472,-1.83559740868899,-1.88101084712069,-1.77761849433008,-1.82928037290027,-1.55985224874499,-1.59090737039138,-1.58013161733817,2.01461251965179,1.99571909499151,1.75362166047392,2.08097101628225,2.08690765801064,2.31298333122501,2.36787544132389,2.91631013679287,2.44158302648051,2.59246071813797,-0.355950258578439,-0.0731491006137742,-0.125178901307891,-0.164554363527921,-0.183217057364719,0.152243734082474,0.0372727473326386,-0.0140757738353998,0.0701908644794077,-0.0854183680513813,-0.233681630040111,-0.107557614160842,-0.135865791814218,-0.0835974653363716,-0.0288596954504988,0.2709204449364,0.192390897367513,0.35011412311881,0.35865895854772,-0.0424603420992515,-0.0390118516834969,-0.0109827336071645,0.109318446963405,0.00292347548349055,0.125597441954954,0.160253835238055,0.0790599702548266,0.117476652363786,0.175934177282204,0.269988167690188,0.491994871652703,0.268368374949696,0.385514155610009,0.396065413807941,-0.384019910448086,-0.46173410517455,-0.449463278744892,-0.405164519629313,-0.497548829551188,-0.335795609349293,-0.421382713930892,-0.486751250609274,-0.469017716034588,-0.412289113300198,-0.402112013194391,-0.35968560353149,-0.560602263034545,-0.695339709992947,-0.856753069927829,-0.650521806524545,-0.56420353467125,-0.619462007901998,0.328941452080672,0.461362236851999,0.107259018464666,0.00909396601945592,-0.0205518268132676,-0.190743870984638,-0.167811097921462,1.63680482713627,1.1577203340427,1.29015982671863,1.14477914103132,1.11228662871434,1.24579403094488,1.46595800630368,0.740230057873197,0.940563654349357,0.908889612858905,1.14376579619848,1.12303431991064,0.997416976447788,0.720184538087588,0.765674367129765,0.756700808886961,0.769952241316397,0.848467757956829,0.734042418424676,0.682001704786206,0.673241728454324,0.724880222143759,0.70101361284232,0.860337923429502,0.999139662663615,0.316583322096185,0.489082674502328,0.438139491267425,0.365847470892676,0.445391922286453,0.496236889022173,0.504518254794545,0.585244422162617,0.828023136206285,0.766631588248785,0.702224949665575,0.691137398202264,0.641290186378878,0.75245567353339,0.769777634206738,0.417975488085975,0.554072376112433,0.360395675692001,0.370020892611923,0.315407842090092,0.304426302086216,0.107154565997281,0.310401918615866,0.201939723676959,0.181459245109254,0.222485679910787,-0.180106868223927,0.084624012883139
"D7_R1",-0.710051917973722,-0.705214365640953,-0.884253689699034,-0.765258944466802,-0.702609289924531,-1.04927767522292,-0.937617987588398,-0.989384318625976,-1.01797311484845,-0.984132074407768,-0.926993456764091,-1.0538408449548,-1.01743214460691,-0.485957723655558,-0.616878758074283,-0.462293783320687,-0.435354400687669,-0.518782301279296,-0.452885266295788,-0.533673793345881,-0.680850437875397,-0.574285536261975,-0.491080571533573,-0.745688917256601,-0.7668974451119,-0.789852044063784,-0.842843742853073,-0.901006618273942,-0.855505876287411,-0.91477251808005,-0.775861649402401,-0.696795808568134,-0.771530769486051,-0.709984881315549,-0.744762875978591,-1.27777290409971,-1.28270711393961,-1.28027976331695,-1.25580826509991,-1.24770306542925,-1.32695754430163,-1.23569882664023,-1.36473348067782,-1.39053635810601,-1.4070788227541,-1.39168845323134,-1.32754060732852,-1.42895459920702,-1.20863628363522,-1.16909245027373,-1.16090462402439,-1.27616714228767,-1.16801518676682,-1.19101343749612,-1.22386763596882,-1.05165357910792,-0.994882883588166,-1.03656721303502,-1.12759831785704,-1.14631401742356,-1.10923339150189,-1.10916167786757,-1.83845192313349,-1.86771888089794,-1.81987497385948,-1.74999471418688,-1.66667282505469,-1.59803975902252,-1.52385824028254,-1.49194255502425,1.98911676365755,2.00813023070572,1.74278510673074,1.92823968307672,2.28007768601465,2.24828672012041,2.29857824467819,2.53899976274147,2.58018677372421,2.5450704777862,0.0321311915500175,0.153729453506621,0.127811210666695,0.135624878823911,0.0178087315818731,0.059371459648786,0.073851377814033,0.0489651877115527,0.10783896350746,0.104982890070904,0.0434370019004021,0.0492255393839895,0.118567946799152,0.100295000974985,0.104098941578258,0.466625394014561,0.409903027248373,0.473715689860334,0.393355885624134,0.246785689002271,0.291553704725057,0.344186835342725,0.367392432014743,0.352979550507669,0.243472830894912,0.240839693321581,0.262349106642631,0.320641378403694,0.166188917974392,0.233998836203891,0.493309101951293,0.342203797454462,0.0662918253610524,0.174362713295278,-0.305008634335587,-0.375910033801271,-0.361456618500883,-0.235218796201926,-0.268001281040299,-0.318188353130699,-0.280917530178873,-0.278678817594323,-0.263832536297204,-0.0759100755352483,-0.0365283773470157,-0.128176843021044,-0.150082240322927,-0.283026846423229,-0.364491976023249,-0.28721118108683,-0.233750225690334,-0.238388227040636,-0.305449829085885,-0.316404866224902,-0.0927721335536927,-0.127670170604625,-0.267482136687475,-0.198980025987545,-0.219656937553616,1.25605843460552,1.16973080879992,1.00005790898137,1.04202285699732,1.05406139361145,1.53122520849878,1.65681137212061,1.32604470573754,1.33016044475092,1.38112389488248,1.32239198736317,1.48988853427919,1.46957798584499,0.949824067129457,1.08236957126483,1.08393479928355,0.937319391892221,0.925322948063456,0.94717378064357,0.986751911830169,1.16213851751388,1.14489762442716,1.10168860075489,0.992570070162716,1.05498743488946,1.13773093797091,1.0448118937757,0.992961377167397,1.07412562130167,0.764774828716613,0.923748366092429,0.787835439127933,0.852034731768423,0.626066629005532,0.538940799270068,0.549859979591923,0.735592056522895,0.706537121677319,0.779273454786467,0.758838186988226,0.638529211457404,0.531694604219242,0.510428393658073,0.537515880535891,0.587564202333794,0.571765376893805,0.421925973941998,0.444163436550642,0.501652827405686,0.625081346029602,0.646052907093222,0.60831594551829,0.718276331817749
"D7_R2",-0.724865460437781,-0.818776023577116,-0.956812297714423,-0.804851106581855,-0.83506749050507,-1.03378441222484,-0.967270016389323,-1.02177237847557,-0.996961019991512,-0.952635758011075,-0.928645988337644,-0.996889306357188,-1.02224475306688,-0.5595733282812,-0.602461199591057,-0.477707537724196,-0.432627723591306,-0.461250817638888,-0.430774082043236,-0.511423858800833,-0.585260840297649,-0.575309794039168,-0.481255803631184,-0.744332594172647,-0.774683051412206,-0.859342555723746,-0.877676302237883,-0.86706268435793,-0.841024399130114,-0.872774831231042,-0.762854978724897,-0.659857050923069,-0.709543686565252,-0.71859207642648,-0.660083104770395,-1.28853618521651,-1.24634050637709,-1.30272613086036,-1.30247201515613,-1.26688646261092,-1.28643622292446,-1.34688613968345,-1.34390534688285,-1.35401229234638,-1.42843545485419,-1.3640755860325,-1.27527072185862,-1.34238688862564,-1.21498605825699,-1.15159744148278,-1.10637731806534,-1.20223038529962,-1.17544222489551,-1.17312712170048,-1.2203739347836,-1.10699779690145,-1.09770932226444,-1.05285556197887,-1.1798915882077,-1.18871860119775,-1.12205142414128,-1.12921031563728,-1.80835714059022,-1.85138999816077,-1.78128524363291,-1.72831848871643,-1.69825800399827,-1.61790599472232,-1.44091830420272,-1.48091112727476,2.02047121177765,2.0065930645439,1.72341307151096,1.91500695855189,2.31674206105882,2.27659333878173,2.3310130742893,2.57102769542739,2.60742548283093,2.53866925642676,-0.0605914196468207,0.122109976737937,0.173193469257387,0.0573775088161685,0.102804978176325,0.101249104109904,0.0351306922552216,0.0540319118757487,0.132592639285646,0.143454136901632,0.103660864812061,0.0741429093274805,0.104577552137768,0.143012942151334,0.0983337889754282,0.45918588394947,0.390367297863284,0.427758163203,0.431655643329305,0.183856974882956,0.285579647187457,0.303779320385249,0.259857837345897,0.35059429267037,0.268093992348804,0.210548477779941,0.225592751067477,0.302112757883241,0.208861648381276,0.259422878563801,0.516949657405406,0.318343424121225,0.150556904683809,0.212205686329646,-0.324012747431449,-0.379456740716208,-0.376820485158776,-0.33456088764528,-0.248607419931807,-0.281349370976867,-0.317268547820891,-0.234359791582088,-0.217358983271147,-0.112097399011962,-0.107524875327781,-0.151151708869585,-0.300766616966117,-0.203329613808501,-0.458050206959166,-0.241658992362632,-0.33303931140397,-0.255476338906407,-0.297455317850809,-0.361402053779114,-0.0694636434063404,-0.120550253909891,-0.271098998244686,-0.139172413953375,-0.207233329903008,1.33821263869187,1.16195143846781,1.00012494563955,1.06745781230158,0.986675521219693,1.53973106912642,1.64320293051161,1.29823228755623,1.28463631788363,1.30613793624443,1.27291737463986,1.40847485141684,1.39516105930538,0.946233708437105,1.00142046803353,0.979591461342122,0.930216624110044,0.957608114437713,0.878141612646462,0.969903884740179,1.08434169620874,1.06431644331978,1.0937985419872,0.985955266892352,1.05690031813545,1.08737861272315,0.99341972083025,0.917259841178157,0.974272180465741,0.720837755756756,0.867256730149718,0.728827590015681,0.808601213240884,0.604140964806993,0.595577421473476,0.601138346117688,0.601719850152532,0.666637838128313,0.836814292379178,0.748757744389552,0.485336416604924,0.59119665381151,0.516767255335495,0.552036332494451,0.57978639099374,0.551066639439026,0.401970875695318,0.498676711581239,0.43289504200947,0.674995594511161,0.525407189279487,0.508442237785709,0.637749715432143
"D21_R1",-0.788129357847958,-0.722837211780052,-0.877207045630675,-0.723477957512816,-0.740475647839656,-0.970179095555597,-1.02324562596331,-0.987009973733031,-0.983651904856207,-0.917823465522921,-0.919563300651304,-0.94515415516062,-0.947492643236403,-0.424195135590034,-0.381090564385155,-0.484833690387132,-0.418610826065064,-0.359872682577552,-0.333333960901519,-0.405576093530651,-0.575747870805365,-0.464053885345726,-0.516038475270377,-0.75070575367518,-0.759849242051491,-0.785287315339856,-0.807417207497014,-0.789133348728494,-0.813604846945535,-0.85400768492686,-0.692407245945916,-0.741152250389582,-0.714540256087174,-0.670639039944479,-0.689686804817755,-1.2986602795926,-1.25820599487361,-1.27179105160186,-1.22126723722855,-1.22771990532566,-1.3340540761156,-1.26353930667845,-1.26716708118001,-1.33721259400996,-1.40436617658619,-1.44803822089746,-1.38168751922725,-1.44659927123482,-1.11479899312226,-1.0523379766181,-1.08029694005216,-1.17036926476311,-1.23102340948071,-1.18765692761135,-1.24922931864671,-1.10208541295025,-1.09174929565529,-1.14325527502043,-1.17760610586163,-1.17569789959179,-1.15082262243367,-1.13516410627822,-1.77141214697695,-1.85630238211197,-1.71922177010163,-1.72857104542861,-1.5661724025178,-1.55373320494669,-1.49997136408444,-1.41923896074817,2.15876939657944,2.14456853799124,1.84197129896905,1.85859483120376,2.45419527216923,2.38515998618802,2.45443067996886,2.59536200234399,2.67175417181161,2.54079728057572,0.176316130334582,0.333306629822133,0.33108662514219,0.22061177146606,0.23316009848071,0.141555284584096,0.163109908674611,0.172315756732943,0.191491358954362,0.191078226060974,0.0878604803800224,0.100885858962133,0.0966641084893192,0.182120257738675,0.0414633179644414,0.490992439764217,0.536698968701417,0.443828253259779,0.401462644286848,0.457745375294788,0.38390371682182,0.382148291772933,0.554101996961393,0.509658251585116,0.251578030565575,0.268783066835135,0.30593384739907,0.306585506076189,0.408364302094508,0.437721681397885,0.203475330846723,0.101604554297423,0.163717915574315,0.179706938044467,-0.367555395402524,-0.355870749983863,-0.31344278132891,-0.233418160383573,-0.283146888811119,-0.262223656501065,-0.229249415640477,-0.245230643150377,-0.019784802724411,0.0416909308038176,-0.0529430046469604,-0.050857073283362,-0.0447785632783775,0.0162622114677556,-0.180736701012338,-0.196847324862431,-0.163222984316776,-0.120386559744586,-0.318835334831666,-0.381444455580623,-0.106187260148434,-0.163458392116404,-0.315305776829284,-0.0859780461975186,-0.171095894171911,1.33021812745679,1.27579371497307,1.08301811195784,1.04235804028818,1.14082241920709,1.62872457133841,1.74971170841121,1.44563030895692,1.40349698979952,1.40420633118251,1.44667483363077,1.52706893569209,1.48899834981834,1.08891110190882,1.07180272314639,1.08728039622397,1.05384937069258,1.04373307127674,1.04494284910795,0.968349569665808,1.19775369090805,1.2793217139834,1.23517729508083,1.18647126543842,1.19383906186919,1.34088942804261,1.1134979655376,1.10290617354635,1.21409816356572,0.878417554239404,0.999248792107151,0.94836796855427,0.977552299740039,0.722077154436921,0.80022474895343,0.71941595500668,0.766447627186823,0.821723249330126,0.834556871890022,0.638331219466988,0.778383270325619,0.793284116344507,0.581432686599091,0.525765757451107,0.692668328395876,0.678473705775875,0.651236555661208,0.548709443458637,0.589594009983573,0.706488792923753,0.719408160046427,0.745995210476027,1.00854662069646
"D21_R2",-0.862518222530659,-0.881435032071691,-0.811082397807791,-0.722762380161626,-0.724012691786145,-0.968386254697497,-1.00696818996381,-0.89418914603701,-0.953388751171477,-0.89789331114905,-0.88516725904064,-1.00944698732414,-0.998928467959271,-0.342458741373223,-0.331403928742973,-0.410193827984297,-0.434389384608396,-0.37955183923129,-0.344653802180358,-0.370132409262037,-0.616517071918562,-0.451541415148238,-0.484107200091589,-0.811278830806157,-0.807485803147237,-0.788818432334288,-0.787384159647808,-0.876151608012472,-0.791294111710517,-0.821590004228308,-0.709275539932562,-0.660708260582654,-0.688963432506313,-0.65854282062448,-0.660698906630351,-1.37290727599871,-1.24870861530183,-1.23659057009313,-1.23241403038978,-1.26689113958707,-1.27712592239874,-1.26078924470133,-1.34782621188991,-1.39528037091575,-1.3593019523738,-1.36056317694267,-1.42564953605991,-1.43356921567656,-1.11182911326601,-1.08989877209132,-1.12871923314137,-1.18798275694991,-1.1725690025464,-1.18615873625079,-1.158979268842,-1.01167478696434,-1.01196164150163,-1.15118430858939,-1.23855022310063,-1.13655160920319,-1.1259800841086,-1.11441859906193,-1.75104079785278,-1.79927757088798,-1.75310646231973,-1.69826891694262,-1.60624473418441,-1.58950739553001,-1.60532804685871,-1.43912858132872,2.08248635655536,2.10527726134194,1.77799494219178,1.88486072927095,2.53647887259578,2.33690918222437,2.51166751411172,2.61291625283286,2.70033205508972,2.57803536469449,0.203391145275995,0.267191335951552,0.381713332990837,0.189743728865727,0.310721511986223,0.129354612796712,0.165370447147868,0.103324122529149,0.233549846493341,0.185155615261041,0.155472406619105,0.171417777311843,0.0946608037043987,0.242378418475446,0.0916348001343358,0.55985935460397,0.497278295711922,0.436644417890975,0.433049382222471,0.54955285815797,0.387885382518853,0.430138744064147,0.537707636558105,0.594988122478379,0.343312240802382,0.26930844715616,0.37733100633682,0.359351151018151,0.404756794489601,0.469129135247699,0.205550349265968,0.0917314576414681,0.134443162849616,0.241452377197436,-0.400206924908654,-0.369917268359065,-0.391878789374766,-0.209288081425596,-0.276564824373816,-0.21599330623489,-0.156377450222934,-0.194044257155593,0.00400541596655268,0.0630818607290278,-0.0282968993202603,-0.0198721062792403,0.0103536315962778,0.0965487430775807,-0.0809440608663833,-0.350984868897527,-0.124538155575126,-0.213300926963639,-0.359897626450361,-0.447324341651576,-0.0699438129579011,-0.144463632972846,-0.314281519052091,-0.047555128120357,-0.128215817822307,1.27282539410888,1.26176590450248,1.01423694168087,1.08087917486453,1.07625988141883,1.63587410888211,1.79634427862642,1.47890699427531,1.44351007976821,1.46563529494922,1.41004007943556,1.57315741768166,1.54172190197494,1.15479722394797,1.08468467445985,1.17330869555587,1.11152895857779,1.02016422945695,1.06739389362751,0.964790390814467,1.16948292906389,1.26941431950234,1.22742910458973,1.17681175069339,1.17744937844205,1.38473140248739,1.21287279581401,1.20180239326325,1.38314434857996,0.915242505464781,1.01813753979127,1.03239919906945,1.04271816745185,0.681403051838806,0.87816499752722,0.720761365146281,0.767342488623823,0.826111811952346,0.828041844110892,0.730185472091685,0.767524890693734,0.815499753064443,0.606244045083147,0.546614158142736,0.657244911023919,0.674407854508114,0.765549647765723,0.587218106098578,0.602461930368581,0.803141623079956,0.770957791188983,0.761055073684068,1.13761401356712
"D14_R1",-0.597883998930725,-0.631021933956617,-0.807478008186984,-0.65881252624922,-0.686213370529192,-0.944669308632908,-0.898736725848382,-0.928133079953023,-0.880067796043383,-0.889114626912561,-0.944341920302298,-0.936395737820788,-0.969268644198092,-0.418869618745451,-0.563280611377341,-0.467951365472031,-0.403546285880872,-0.396876917888739,-0.368986550104903,-0.469034864947144,-0.502797955785295,-0.497223000212629,-0.479996138054363,-0.793687164508068,-0.798169266653318,-0.818796290473773,-0.876305948225474,-0.679882303812023,-0.757290936096585,-0.833517852406851,-0.658778228424108,-0.740050043009863,-0.658862413994837,-0.672710940379622,-0.616800808471757,-1.24771553736565,-1.18896492194173,-1.20047651924279,-1.14270027385045,-1.19123169638319,-1.19502940101826,-1.21304667214615,-1.18684936972918,-1.40831978042631,-1.36596196641363,-1.3678156079617,-1.2925287638579,-1.27749228553062,-1.06418008023386,-0.956707845247038,-0.949982353541087,-1.04352655354855,-1.12622172787643,-1.14417508033024,-1.22686401868992,-1.04055511470025,-1.01019998048454,-1.13343986107035,-1.12380061322197,-1.02257058240543,-1.05566486565391,-1.0253190853905,-1.76365772051766,-1.78617112471924,-1.66794808055202,-1.6698360199252,-1.56009701049692,-1.53025946164198,-1.48223782950975,-1.443981723582,2.21349625352096,2.23421681686445,1.85641068334098,1.82501414243552,2.41605764963732,2.37395551032092,2.40310866166568,2.47365928792,2.49676822708488,2.45625002369182,0.19513004640028,0.256958112131926,0.263742845535798,0.28893459808018,0.195555651230072,0.0890499913145706,0.14422583796664,0.147937798038933,0.152196964320959,0.191581780493292,0.0622930107514639,0.143145456475629,0.125998102911939,0.102276479871198,-0.0014354662897686,0.51128583928586,0.459218622782531,0.536563336393022,0.390680655265439,0.398209027877409,0.457355627282158,0.37664504983459,0.398676725492565,0.565431192192535,0.187472277448117,0.204819181994273,0.443324698827461,0.295240720924541,0.276185161091013,0.341023640472217,0.333256742076517,0.151383170470586,0.233568554397947,0.136943786098653,-0.367700381663222,-0.312220531561301,-0.37563876918448,-0.256648700928399,-0.278812890910668,-0.221714807060305,-0.101048822349913,-0.103353012600585,-0.131011090568893,-0.000525014932263959,0.023968309173485,-0.0406207314796357,-0.0119742525512965,0.0421243305938627,-0.186370898282924,-0.100386250728442,-0.130834924467184,-0.188520748320594,-0.345383410460002,-0.361624989642339,-0.0438306961116599,-0.0739691304323487,-0.348222334984002,-0.157610612934897,-0.156288587676054,1.23366819077592,1.18479223100001,1.06489015239437,1.05290462150996,1.12081119724659,1.56246273221508,1.6360159771587,1.46075720882314,1.5027595726483,1.52915174907158,1.44083017243337,1.69525923407058,1.58666764279148,1.18257534430417,1.0870777272574,1.21332022653251,0.957103001013344,0.98069210972979,1.00809295400976,1.06265767577803,1.19483525778947,1.24761805164399,1.17712199011144,1.19771159812269,1.17750394316382,1.35195983059337,1.04415555812243,1.1254460806128,1.23012771982919,0.9725058424725,1.04804680228054,0.881134877383464,0.956337535916538,0.577865712787497,0.632658047395139,0.599389157037002,0.846344410784018,0.77300942472747,0.79496626876702,0.678161907365771,0.800271518714946,0.711296724407562,0.685108775942896,0.623859096261993,0.708590314207856,0.596258700999554,0.552851685336874,0.684768915675882,0.681114638309459,0.849722746557499,0.865225363507889,0.81157577007328,0.746413020345567
