gene_symbol	ACD	ACN	ALO
A1BG	45.644	61.417	65.780
A1BG-AS	38.178	34.519	86.360
A1CF	23.611	23.415	15.680
A2LD1	30.439	36.945	28.000
A2M	919.756	927.875	617.080
A2ML1	44.817	135.814	127.880
A4GALT	93.844	99.332	130.700
A4GNT	19.144	19.243	14.720
AAA1	16.689	13.967	12.740
AAAS	160.067	138.675	137.480
AACS	543.811	911.916	504.800
AACSP1	11.456	12.183	17.240
AADAC	58.478	133.785	29.480
AADACL2	147.900	368.979	169.800
AADAT	46.700	44.646	29.260
AAGAB	130.400	122.546	65.873
AAK1	129.149	94.255	95.589
AAMP	398.911	399.929	174.320
AANAT	12.900	15.763	22.540
AARS	545.556	445.128	246.520
AARS2	123.494	136.933	164.950
AARSD1	82.589	74.718	58.450
AASDH	134.961	169.155	79.590
AASDHPPT	175.493	375.533	170.007
AASS	36.167	44.346	85.670
AATF	450.967	349.302	204.900
AATK	140.456	152.429	33.960
ABAT	43.756	61.755	51.407
ABCA1	181.456	311.994	156.670
ABCA11P	47.733	42.562	23.720
ABCA12	97.944	265.950	167.120
ABCA13	8.867	14.290	21.093
ABCA17P	19.467	19.987	15.260
ABCA2	47.778	50.376	108.253
ABCA3	94.344	108.520	103.880
ABCA4	26.494	40.709	46.700
ABCA5	197.661	87.351	80.390
ABCA6	50.211	68.969	106.000
ABCA7	86.344	100.766	144.960
ABCA8	138.767	256.648	76.307
ABCA9	33.741	35.593	53.380
ABCB1	26.283	25.685	26.690
ABCB1 /// ABCB4	72.556	62.358	118.620
ABCB10	158.444	200.284	77.840
ABCB11	14.783	13.806	12.760
ABCB4	30.178	26.728	24.520
ABCB5	16.939	17.617	13.045
ABCB6	77.239	73.512	193.600
ABCB7	194.133	270.144	217.120
ABCB8	52.939	53.803	38.130
ABCB9	35.111	27.857	29.867
ABCC1	259.150	270.203	286.680
ABCC10	173.372	128.234	121.100
ABCC11	22.300	18.951	19.050
ABCC12	13.044	13.190	25.820
ABCC13	15.458	13.138	14.165
ABCC2	28.811	23.509	36.900
ABCC3	75.816	66.340	65.964
ABCC4	37.158	45.775	27.865
ABCC5	95.385	70.796	54.713
ABCC6	20.233	24.085	31.033
ABCC6P1	12.111	10.816	10.020
ABCC8	33.900	34.223	68.970
ABCC9	18.111	20.129	24.032
ABCD1	39.589	34.120	32.020
ABCD2	9.222	8.358	9.100
ABCD3	408.889	533.681	412.920
ABCD4	107.067	87.827	43.680
ABCE1	423.694	390.615	385.410
ABCF1	393.711	390.101	299.960
ABCF2	142.800	123.319	283.010
ABCF3	159.122	170.083	102.780
ABCG1	70.139	123.723	103.850
ABCG2	24.667	37.256	21.940
ABCG4	37.400	43.046	33.200
ABCG5	13.100	13.262	13.880
ABCG8	18.667	18.428	13.040
ABHD1	30.144	27.119	20.027
ABHD10	160.489	182.014	128.010
ABHD11	95.748	93.819	95.080
ABHD12	171.378	281.303	189.500
ABHD12B	16.067	57.356	61.010
ABHD13	26.172	39.720	43.780
ABHD14A	123.878	163.279	152.520
ABHD14A /// ACY1	133.300	209.405	142.400
ABHD14B	221.300	319.584	375.720
ABHD15	54.978	64.534	49.740
ABHD2	129.398	211.644	285.853
ABHD3	183.067	316.822	113.040
ABHD4	97.228	100.609	37.270
ABHD5	137.336	427.599	600.320
ABHD6	108.303	172.179	203.275
ABHD8	36.289	42.265	41.220
ABI1	387.852	373.315	504.620
ABI2	180.407	168.767	177.883
ABI3	112.822	86.458	72.300
ABI3BP	496.552	504.411	79.500
ABL1	378.900	523.530	153.560
ABL2	157.993	154.639	85.507
ABLIM1	882.867	1085.350	1064.580
ABLIM2	47.658	49.659	78.048
ABLIM3	87.356	92.298	71.120
ABO	24.000	41.589	58.647
ABP1	19.844	27.822	27.860
ABR	220.889	216.606	156.690
ABRA	10.011	9.577	12.170
ABT1	213.922	235.773	75.760
ABTB1	53.447	46.858	39.280
ABTB2	71.283	80.500	92.230
ACAA1	446.794	557.372	623.040
ACAA2	366.206	717.132	669.140
ACACA	188.556	259.351	197.620
ACACB	124.920	167.221	400.427
ACAD10	40.800	38.444	54.055
ACAD11 /// NPHP3	173.033	113.346	195.240
ACAD8	164.600	460.278	486.700
ACAD9	222.828	261.260	206.390
ACADL	27.228	27.038	15.570
ACADM	582.822	1719.473	1167.180
ACADS	85.478	114.514	186.440
ACADSB	84.556	106.190	72.040
ACADVL	1003.967	923.934	1028.320
ACAN	41.383	32.887	56.675
ACAP1	93.937	57.271	53.873
ACAP2	172.641	288.264	325.940
ACAP3	126.744	115.095	47.970
ACAT1	194.874	312.714	249.013
ACAT2	346.578	785.488	976.760
ACBD3	469.800	479.201	288.190
ACBD4	75.444	69.266	54.280
ACBD5	285.017	303.030	142.050
ACBD6	227.878	332.161	242.020
ACCN1	31.611	36.010	19.800
ACCN2	43.233	49.228	37.740
ACCN3	17.267	15.681	24.040
ACCN4	49.722	34.465	34.760
ACCN5	12.467	12.326	9.000
ACCS	142.933	140.847	136.340
ACD	168.956	107.275	87.000
ACE	48.611	59.715	34.130
ACE2	15.189	17.006	14.830
ACER1	92.156	237.763	230.420
ACER3	174.262	194.541	65.804
ACHE	36.563	32.753	32.740
ACIN1	189.567	142.719	171.960
ACLY	484.719	728.666	896.527
ACMSD	10.489	9.934	8.660
ACN9	32.678	46.728	56.340
ACO1	345.711	857.087	414.040
ACO2	344.567	231.582	140.850
ACOT1 /// ACOT2	155.933	517.958	412.360
ACOT11	37.711	37.149	60.000
ACOT12	10.178	8.986	8.380
ACOT13	284.633	743.834	683.400
ACOT4	36.333	100.029	63.280
ACOT6	12.878	12.785	14.540
ACOT7	168.217	212.576	151.580
ACOT8	76.339	122.887	65.770
ACOT9	460.511	421.088	103.100
ACOX1	178.031	296.258	337.756
ACOX2	91.400	215.931	83.040
ACOX3	90.917	117.945	106.350
ACOXL	18.450	18.075	17.190
ACP1	459.411	435.555	291.815
ACP2	223.700	226.414	70.260
ACP5	173.600	379.165	231.900
ACP6	141.133	326.271	219.160
ACPL2	94.872	128.661	83.610
ACPP	85.356	362.235	235.940
ACPT	91.911	134.226	222.420
ACR	27.800	25.032	19.240
ACRBP	32.356	33.109	56.753
ACRC	34.300	35.142	15.760
ACRV1	24.726	27.576	20.243
ACSBG1	228.450	809.715	733.300
ACSBG2	20.822	16.282	13.800
ACSF2	95.400	144.236	132.620
ACSF3	51.678	49.468	52.700
ACSL1	1405.028	2807.300	2110.740
ACSL3	308.315	440.171	286.040
ACSL4	81.333	50.062	38.813
ACSL5	125.583	165.179	81.620
ACSL6	17.740	18.933	18.452
ACSM1	21.550	20.329	24.810
ACSM2A	9.561	9.188	9.920
ACSM2A /// ACSM2B	17.285	15.499	14.933
ACSM3	25.256	82.178	76.990
ACSM5	37.226	42.976	26.480
ACSS1	90.367	71.984	58.580
ACSS2	350.267	586.230	339.960
ACSS3	33.861	69.126	61.230
ACTA1	117.633	39.051	34.280
ACTA2	1037.570	506.976	303.767
ACTB	11283.526	10105.572	8932.703
ACTC1	159.989	85.544	30.720
ACTG1	8799.126	11120.797	6536.271
ACTG2	608.200	279.390	120.230
ACTL6A	186.411	235.411	101.300
ACTL6B	26.144	24.710	37.560
ACTL7A	28.200	22.027	19.220
ACTL7B	22.611	19.312	35.540
ACTL8	67.800	50.262	25.240
ACTL9	14.578	11.676	13.220
ACTN1	872.322	1277.749	667.280
ACTN2	23.867	19.558	19.730
ACTN3	31.744	27.039	23.060
ACTN4	1143.356	1139.832	1161.000
ACTR10	1151.256	1328.463	785.340
ACTR1A	293.694	314.213	408.370
ACTR1B	322.178	281.151	225.340
ACTR2	672.408	613.947	735.360
ACTR3	1588.298	1608.992	771.744
ACTR3B	48.700	75.719	89.460
ACTR3B /// LOC100290215	84.322	110.266	77.600
ACTR3BP2	19.393	16.112	15.700
ACTR3C	32.344	59.254	27.820
ACTR5	91.206	73.290	82.470
ACTR6	138.306	168.187	92.890
ACTR8	118.172	107.757	84.940
ACTRT2	28.578	21.083	41.340
ACVR1	214.378	481.653	156.160
ACVR1B	109.776	162.918	223.010
ACVR1C	24.922	35.949	11.600
ACVR2A	234.867	276.270	387.700
ACVR2B	48.889	50.385	43.647
ACVRL1	132.322	163.002	161.510
ACY1	47.011	33.367	92.040
ACY3	31.194	24.414	22.580
ACYP1	142.644	142.998	221.660
ACYP2	97.344	229.497	197.620
ADA	105.161	161.265	32.350
ADAD1	15.844	15.047	11.670
ADAD2	57.278	60.960	119.640
ADAL	38.200	62.389	24.310
ADAM1	23.567	28.865	21.700
ADAM10	366.511	360.143	503.807
ADAM11	48.389	38.750	44.060
ADAM12	26.642	61.211	23.248
ADAM15	334.478	294.066	199.140
ADAM17	208.178	283.508	213.100
ADAM18	13.756	11.808	11.040
ADAM19	129.028	75.182	58.690
ADAM2	9.200	9.369	9.280
ADAM20	21.556	20.115	16.290
ADAM21	22.100	19.896	24.560
ADAM21 /// ADAM21P1	12.144	13.446	10.060
ADAM22	17.514	16.999	15.973
ADAM23	22.253	21.307	14.870
ADAM28	29.969	32.226	22.595
ADAM29	17.389	15.025	10.280
ADAM30	15.811	12.530	11.280
ADAM32	13.144	11.115	13.080
ADAM33	519.878	215.152	455.870
ADAM3A	9.478	9.021	10.740
ADAM5P	16.606	13.371	12.160
ADAM6	17.400	17.392	67.160
ADAM7	12.896	12.055	11.633
ADAM8	91.572	53.651	96.940
ADAM9	224.004	356.730	177.367
ADAMDEC1	13.600	315.358	16.900
ADAMTS1	490.656	244.811	287.940
ADAMTS10	85.467	50.721	40.860
ADAMTS12	39.994	66.841	49.550
ADAMTS13	50.089	47.263	74.630
ADAMTS14	64.544	43.854	37.160
ADAMTS15	86.383	88.217	75.920
ADAMTS16	35.278	37.406	61.500
ADAMTS17	21.474	24.589	46.553
ADAMTS18	22.089	24.427	22.907
ADAMTS19	12.250	13.045	13.160
ADAMTS2	91.133	145.793	60.120
ADAMTS20	10.478	9.427	10.540
ADAMTS3	21.211	45.393	13.200
ADAMTS4	40.167	41.668	46.980
ADAMTS5	365.639	521.815	64.010
ADAMTS6	17.015	17.318	16.560
ADAMTS7	40.381	31.551	60.440
ADAMTS8	69.089	45.104	55.140
ADAMTS9	85.978	57.466	22.780
ADAMTSL1	28.511	26.720	40.630
ADAMTSL2	26.378	26.698	41.620
ADAMTSL3	32.789	32.243	48.860
ADAMTSL4	78.878	56.697	70.860
ADAMTSL5	46.989	52.424	82.080
ADAP1	174.061	145.448	172.140
ADAP2	247.467	304.096	83.700
ADAR	2324.544	1882.352	834.700
ADARB1	98.624	72.007	83.784
ADARB2	23.972	21.222	23.760
ADAT1	105.511	189.476	91.060
ADAT2	40.439	32.114	24.810
ADAT3	91.096	107.543	52.240
ADC	73.139	60.156	62.720
ADCK1	105.122	138.894	73.560
ADCK2	132.858	159.389	145.470
ADCK3	151.622	171.410	206.020
ADCK4	100.783	93.354	51.870
ADCK5	49.333	43.780	61.780
ADCY1	36.038	38.885	37.780
ADCY10	13.633	12.583	10.730
ADCY2	76.730	57.648	43.973
ADCY3	169.467	117.040	78.040
ADCY4	177.200	147.676	164.860
ADCY5	35.056	33.881	68.740
ADCY6	101.767	94.242	34.180
ADCY7	187.117	201.402	108.180
ADCY8	28.444	23.053	36.560
ADCY9	95.015	112.382	83.133
ADCYAP1	16.611	28.767	14.470
ADCYAP1R1	34.389	35.793	29.890
ADD1	521.661	350.144	360.315
ADD2	36.356	29.938	39.104
ADD3	1180.750	1178.473	592.970
ADH1A	14.100	15.789	12.400
ADH1B	355.708	412.143	279.875
ADH1C	15.889	22.033	31.360
ADH4	20.617	15.973	20.010
ADH5	733.039	962.850	354.330
ADH6	20.133	16.019	16.750
ADH7	15.122	14.611	13.000
ADHFE1	101.411	129.509	95.040
ADI1	792.239	1169.109	532.100
ADIG	54.106	50.017	93.040
ADIPOQ	288.878	820.797	273.440
ADIPOR1	363.922	694.440	714.640
ADIPOR2	597.367	498.546	245.540
ADK	349.694	449.180	221.420
ADM	692.122	654.393	735.700
ADM2	107.722	90.330	103.920
ADNP	382.072	513.797	212.780
ADNP2	301.656	385.467	207.610
ADO	438.083	514.218	139.560
ADORA1	54.256	52.161	82.900
ADORA2A /// SPECC1L	70.356	71.744	61.460
ADORA2B	145.456	212.853	80.000
ADORA3	25.567	36.005	48.000
ADPGK	246.594	170.650	80.710
ADPRH	28.737	31.043	27.260
ADPRHL1	37.800	41.028	35.810
ADPRHL2	422.111	339.357	480.560
ADRA1A	16.158	16.781	17.470
ADRA1B	14.933	15.535	51.000
ADRA1D	19.417	17.130	20.630
ADRA2A	251.311	226.667	121.320
ADRA2B	46.733	57.110	92.900
ADRA2C	93.544	82.078	150.200
ADRB1	16.359	44.793	28.100
ADRB2	132.011	163.464	440.180
ADRB3	25.978	25.101	19.020
ADRBK1	154.696	119.772	98.580
ADRBK2	89.030	109.784	66.153
ADRM1	642.933	593.822	868.200
ADSL	832.217	613.531	179.090
ADSS	137.711	219.199	200.630
ADSSL1	55.606	64.817	60.070
AEBP1	1039.767	1203.709	1905.500
AEBP2	175.122	289.209	148.240
AEN	134.744	101.879	78.660
AES	442.989	301.537	830.260
AFAP1	16.856	17.340	27.840
AFAP1-AS	19.250	15.614	33.300
AFAP1L1	41.761	75.985	74.720
AFAP1L2	45.278	61.578	55.720
AFF1	473.696	364.138	525.567
AFF2	20.804	20.161	21.480
AFF3	26.822	22.038	26.420
AFF3 /// MLL	11.178	11.166	12.080
AFF4	99.139	88.007	307.498
AFG3L1P	88.759	63.982	55.433
AFG3L2	848.078	839.736	382.490
AFM	12.289	11.863	9.500
AFMID	52.722	50.248	56.980
AFP	20.744	22.724	32.500
AFTPH	583.267	580.725	647.170
AGA	245.070	311.817	147.527
AGAP1	106.383	143.035	90.540
AGAP10 /// AGAP4 /// AGAP5 /// AGAP9	490.133	203.880	154.060
AGAP10 /// AGAP4 /// AGAP9 /// BMS1P1 /// BMS1P5 /// LOC399753	59.141	35.004	99.993
AGAP11	30.928	28.999	65.220
AGAP11 /// AGAP4 /// AGAP6 /// AGAP7 /// AGAP8	444.656	201.599	202.840
AGAP2	37.722	37.910	79.080
AGAP3	150.485	176.688	193.400
AGAP4	49.544	25.348	15.500
AGBL1	13.567	12.414	11.420
AGBL2	14.156	13.799	11.700
AGBL3	9.800	9.178	9.273
AGBL4	15.911	19.654	19.710
AGBL5	64.104	69.919	73.273
AGER	40.478	33.936	90.640
AGFG1	155.224	216.816	93.572
AGFG2	41.541	48.433	68.183
AGGF1	152.706	224.817	117.760
AGK	105.907	117.825	47.920
AGL	304.689	399.269	277.280
AGMAT	25.144	22.515	20.810
AGPAT1	230.283	559.949	308.320
AGPAT2	251.744	248.303	283.450
AGPAT3	226.041	428.735	492.253
AGPAT4	50.372	55.669	58.010
AGPAT5	190.361	191.614	38.640
AGPAT6	187.104	129.646	169.280
AGPAT9	131.811	87.174	64.800
AGPHD1	32.200	70.611	28.800
AGPS	98.522	134.828	100.645
AGR2	41.272	168.653	98.370
AGR3	13.967	9.601	8.140
AGRN	115.394	116.603	187.440
AGRP	28.500	31.108	30.420
AGT	59.122	48.683	24.160
AGTPBP1	105.111	100.797	52.140
AGTR1	174.183	185.310	51.650
AGTR2	14.181	12.915	12.140
AGTRAP	216.756	315.722	113.890
AGXT	21.033	19.262	29.380
AGXT2	24.611	20.965	12.260
AGXT2L1	10.044	10.256	11.520
AGXT2L2	187.125	123.195	95.580
AHCTF1	102.600	118.876	125.653
AHCY	477.089	729.233	296.720
AHCYL1	688.511	945.633	346.750
AHCYL2	76.867	81.887	111.400
AHDC1	51.356	56.673	108.533
AHI1	75.331	43.741	29.028
AHNAK	1023.089	797.210	2823.352
AHNAK2	1115.478	988.259	1689.330
AHR	746.367	817.427	723.040
AHRR	105.756	114.772	46.400
AHSA1	667.600	575.117	286.120
AHSA2	165.419	88.615	109.407
AHSG	18.533	16.115	16.260
AHSP	33.378	47.620	20.260
AICDA	13.917	11.928	9.390
AIDA	1072.589	1284.322	370.110
AIF1	418.547	584.799	170.000
AIF1L	104.600	165.775	215.630
AIFM1	193.244	183.651	212.020
AIFM2	88.550	126.482	120.410
AIFM3	26.844	34.330	30.080
AIG1	77.600	88.333	82.460
AIM1	1678.489	1854.382	708.800
AIM1L	61.583	85.459	81.110
AIM2	32.644	35.999	20.700
AIMP1	213.150	219.651	163.205
AIMP2	386.637	327.055	437.200
AIP	194.739	210.897	165.240
AIPL1	33.189	33.933	15.510
AIRE	42.967	40.593	45.260
AJAP1	18.030	22.359	15.153
AK1	188.256	210.054	167.330
AK2	294.670	247.363	268.320
AK3	833.767	1139.921	502.030
AK4	364.486	453.635	299.805
AK5	20.222	57.283	55.390
AK7	29.019	29.376	23.825
AKAP1	252.161	283.800	182.735
AKAP10	169.731	72.961	56.170
AKAP11	359.228	401.095	89.230
AKAP12	91.827	166.939	66.076
AKAP13	297.720	160.078	178.930
AKAP14	9.633	8.814	8.993
AKAP17A	182.207	128.838	161.213
AKAP2 /// PALM2-AKAP2	641.263	601.996	561.733
AKAP3	22.689	26.834	16.060
AKAP4	15.200	14.948	14.800
AKAP5	16.122	16.625	42.450
AKAP6	20.411	17.709	20.350
AKAP7	55.578	66.677	47.370
AKAP8	254.122	199.584	178.140
AKAP8L	63.209	57.243	60.016
AKAP9	161.222	122.394	67.320
AKD1	21.159	21.615	58.480
AKIRIN1	147.770	203.727	234.780
AKIRIN2	155.093	327.644	249.887
AKNA	122.589	74.076	50.640
AKNAD1	9.793	9.734	11.347
AKR1A1	727.450	919.182	728.120
AKR1B1	465.656	621.257	338.060
AKR1B10	194.822	515.139	47.260
AKR1C1	693.524	787.631	268.812
AKR1C1 /// AKR1C2	36.500	43.106	14.760
AKR1C2	948.900	931.172	255.713
AKR1C3	576.011	873.290	248.440
AKR1C4	10.389	11.400	13.280
AKR1D1	8.256	8.607	8.880
AKR1E2	38.637	30.854	34.313
AKR7A2	398.661	480.642	345.170
AKR7A3	114.606	121.804	104.750
AKT1	277.200	229.252	99.600
AKT1S1	68.883	85.999	74.810
AKT2	97.325	106.073	219.906
AKT3	79.404	93.716	172.960
AKTIP	220.517	308.699	191.810
ALAD	175.722	188.678	167.530
ALAS1	376.289	731.242	447.280
ALAS2	21.678	22.552	19.820
ALB	9.267	9.577	10.730
ALCAM	622.667	719.505	443.420
ALDH16A1	135.611	144.702	83.320
ALDH18A1	334.867	310.969	148.560
ALDH1A1	115.011	206.409	393.900
ALDH1A2	59.156	44.262	36.750
ALDH1A3	124.133	286.951	77.000
ALDH1B1	62.956	57.706	425.600
ALDH1L1	56.200	78.449	121.350
ALDH1L2	17.544	25.996	39.453
ALDH2	1526.156	2417.377	2399.000
ALDH3A1	188.800	173.290	76.100
ALDH3A2	864.774	1194.372	1406.020
ALDH3B1	96.511	98.609	112.307
ALDH3B2	180.544	446.725	926.610
ALDH4A1	90.300	120.426	156.170
ALDH5A1	53.350	145.624	101.600
ALDH6A1	101.130	147.480	129.927
ALDH7A1	173.307	232.753	250.827
ALDH8A1	12.867	14.791	10.240
ALDH9A1	1748.100	2658.932	1680.380
ALDOA	2655.996	3117.045	2100.207
ALDOAP2	15.533	15.112	17.760
ALDOB	19.914	18.025	21.096
ALDOC	184.456	164.753	197.480
ALG1	34.100	39.809	36.300
ALG10	14.850	21.591	43.120
ALG10B	20.204	27.711	20.007
ALG12	115.789	102.285	145.740
ALG13	183.550	178.877	98.440
ALG14	92.189	197.677	97.120
ALG2	238.706	278.663	120.070
ALG3	159.422	172.880	101.040
ALG5	261.915	378.906	143.087
ALG6	236.400	451.026	58.300
ALG8	321.811	370.383	187.880
ALG9	109.844	106.587	27.340
ALG9 /// FDXACB1	164.522	163.869	94.760
ALK	34.217	31.945	25.370
ALKBH1	85.528	113.808	42.300
ALKBH2	117.656	81.639	56.580
ALKBH3	205.167	279.482	195.440
ALKBH4	64.511	71.546	32.400
ALKBH5	403.707	404.790	354.320
ALKBH6	139.011	63.124	138.800
ALKBH7	140.994	219.535	145.740
ALKBH8	42.100	38.941	39.390
ALLC	22.722	21.232	18.960
ALMS1	397.211	133.023	427.407
ALMS1P	46.500	39.680	42.680
ALOX12	32.233	75.646	31.260
ALOX12B	188.311	529.683	197.200
ALOX12P2	61.078	39.720	45.180
ALOX15	53.833	17.145	26.420
ALOX15B	190.106	1177.010	1763.780
ALOX5	108.508	119.291	37.850
ALOX5AP	560.411	372.820	199.220
ALOXE3	52.433	78.522	160.710
ALPI	25.583	22.869	75.170
ALPK1	109.856	80.461	65.560
ALPK2	25.544	46.763	19.060
ALPK3	25.361	22.371	19.760
ALPL	22.806	27.871	33.380
ALPP	21.833	21.474	51.920
ALPP /// ALPPL2	40.300	46.795	125.060
ALPPL2	49.528	55.361	100.710
ALS2	69.633	61.660	25.080
ALS2CL	152.085	123.490	113.520
ALS2CR10	16.889	15.739	14.400
ALS2CR11	9.024	8.426	9.930
ALS2CR12	18.267	16.295	25.910
ALS2CR4	123.422	180.531	151.920
ALS2CR8	17.072	15.309	20.640
ALX1	24.789	29.419	16.300
ALX3	30.211	25.636	46.920
ALX4	19.233	20.930	32.800
AMAC1	14.611	15.006	18.740
AMAC1 /// AMAC1L1 /// AMAC1L2	39.311	37.251	21.100
AMACR	22.739	39.905	53.395
AMACR /// C1QTNF3	36.306	71.807	91.720
AMBN	26.144	19.433	19.940
AMBP	26.828	23.748	31.330
AMBRA1	62.150	86.622	76.340
AMD1	623.761	541.415	516.140
AMDHD1	14.433	19.138	10.560
AMDHD2	81.244	96.054	136.740
AMELX	13.344	11.517	14.520
AMELY	14.722	13.051	12.800
AMFR	104.106	350.930	133.240
AMH	42.100	36.320	96.060
AMHR2	55.689	52.132	63.540
AMICA1	373.278	177.672	189.500
AMIGO1	39.933	46.233	78.320
AMIGO2	140.800	241.110	39.880
AMIGO3 /// GMPPB	82.533	74.731	81.600
AMMECR1	162.656	209.991	73.880
AMMECR1L	295.267	278.087	99.600
AMN	54.372	45.034	89.950
AMN1	44.089	79.185	37.080
AMOT	18.411	16.467	14.420
AMOTL1	212.914	218.456	337.740
AMOTL2	435.044	622.223	256.120
AMPD1	15.633	17.524	13.020
AMPD2	232.189	217.208	136.320
AMPD3	117.067	146.643	66.130
AMPH	32.456	72.975	17.140
AMT	126.544	93.936	56.180
AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	111.267	54.515	78.200
AMY2B /// RNPC3	136.044	93.066	96.080
AMZ1	65.189	54.758	73.350
AMZ2	621.189	597.620	276.540
AMZ2P1	98.811	109.671	65.700
ANAPC1	196.807	180.934	100.913
ANAPC10	53.272	95.068	53.040
ANAPC11	593.511	711.017	800.640
ANAPC13	490.578	683.251	205.440
ANAPC16	1359.417	1112.592	1059.145
ANAPC2	124.489	91.435	92.360
ANAPC4	600.889	438.210	317.800
ANAPC5	782.036	566.078	202.468
ANAPC7	306.983	244.716	165.760
ANG	117.800	126.163	158.180
ANGEL1	83.511	83.369	62.700
ANGEL2	132.922	132.213	57.900
ANGPT1	31.856	33.488	16.307
ANGPT2	26.919	35.607	29.875
ANGPT4	29.189	25.487	42.780
ANGPTL1	63.900	133.003	50.580
ANGPTL2	301.967	474.533	399.120
ANGPTL3	10.281	9.611	9.973
ANGPTL4	213.733	168.173	168.670
ANGPTL6	42.111	35.744	52.100
ANGPTL7	22.622	55.227	148.820
ANK1	32.689	30.875	23.534
ANK2	279.844	199.151	80.270
ANK3	294.263	361.802	543.587
ANKAR	12.383	12.441	10.200
ANKDD1A	45.922	70.888	69.130
ANKFN1	16.089	16.496	24.240
ANKFY1	196.278	129.388	84.865
ANKH	124.475	212.267	160.986
ANKHD1	94.450	114.290	135.350
ANKHD1 /// ANKHD1-EIF4EBP3	625.300	643.937	398.127
ANKHD1-EIF4EBP3 /// EIF4EBP3	279.700	360.919	355.040
ANKIB1	306.515	330.690	124.373
ANKLE1	13.267	14.263	28.900
ANKLE2	134.485	82.336	161.033
ANKMY1	24.059	23.804	42.013
ANKMY2	401.578	463.654	113.180
ANKRA2	157.044	217.642	131.180
ANKRD1	11.656	11.448	9.380
ANKRD10	260.229	134.019	107.224
ANKRD11	183.690	233.768	229.149
ANKRD12	268.217	238.753	417.625
ANKRD13A	703.589	783.500	340.520
ANKRD13B	82.089	61.880	83.520
ANKRD13C	51.809	76.116	59.552
ANKRD13D	122.489	71.758	54.200
ANKRD16	65.394	92.546	47.010
ANKRD17	608.311	508.682	413.050
ANKRD18A	19.126	13.297	13.133
ANKRD18A /// ANKRD18B	19.156	18.359	35.640
ANKRD19	51.256	56.328	859.640
ANKRD2	36.467	35.930	31.740
ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4	10.244	7.937	7.300
ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// ANKRD20B /// LOC375010	9.367	8.268	16.200
ANKRD20A1 /// ANKRD20A2 /// ANKRD20A3 /// ANKRD20A4 /// C21orf81 /// LOC100132733 /// LOC284232	192.989	152.532	45.340
ANKRD22	415.022	699.231	237.200
ANKRD23 /// ANKRD39	56.856	41.180	51.150
ANKRD24	29.115	25.945	55.320
ANKRD26	23.572	24.483	26.070
ANKRD27	380.311	530.558	214.960
ANKRD28	269.085	240.905	121.673
ANKRD29	30.878	47.398	21.870
ANKRD30A	11.278	10.684	10.480
ANKRD30B	8.889	9.511	14.190
ANKRD30BL /// ANKRD30BP2	14.244	13.415	11.180
ANKRD30BP2	10.722	9.203	7.740
ANKRD31	11.056	10.148	11.520
ANKRD32	42.544	44.610	28.390
ANKRD33	14.300	15.555	11.680
ANKRD33B	93.422	125.435	102.680
ANKRD34A	28.067	24.040	18.000
ANKRD34C	13.311	13.716	10.600
ANKRD35	248.133	267.697	246.680
ANKRD36	38.267	56.377	157.180
ANKRD36B	267.089	141.858	119.940
ANKRD36BP2	21.911	16.768	15.000
ANKRD37	104.011	146.080	123.400
ANKRD39	67.067	67.191	55.840
ANKRD40	125.148	189.169	205.907
ANKRD42	23.122	22.128	30.300
ANKRD43	14.922	16.907	14.860
ANKRD44	87.924	55.211	44.540
ANKRD45	11.300	11.014	12.760
ANKRD46	135.233	325.737	90.040
ANKRD49	326.989	317.133	66.520
ANKRD5	20.683	21.858	33.840
ANKRD50	95.952	137.406	153.713
ANKRD52	143.611	107.989	62.600
ANKRD53	41.067	35.381	75.360
ANKRD54	118.422	123.093	121.060
ANKRD55	18.006	17.849	15.220
ANKRD57	581.872	681.274	235.290
ANKRD6	33.172	58.595	29.220
ANKRD60	30.400	32.193	26.520
ANKRD7	9.011	9.382	8.140
ANKRD9	184.928	293.711	190.800
ANKS1A	390.711	443.714	425.180
ANKS1B	14.493	16.982	18.188
ANKS3	90.578	73.629	91.400
ANKS4B	19.644	18.666	16.420
ANKS6	36.544	38.724	49.030
ANKZF1	194.589	149.228	372.440
ANLN	62.622	83.041	39.890
ANO1	208.217	163.681	114.670
ANO10	174.800	158.705	408.400
ANO2	20.128	23.084	43.000
ANO3	12.167	13.582	9.920
ANO4	16.596	17.127	14.060
ANO5	19.378	20.146	14.780
ANO6	278.139	296.869	149.860
ANO7	88.011	89.694	25.040
ANO7L1	53.811	55.086	52.820
ANO8	86.556	117.264	121.820
ANO9	167.678	153.056	172.140
ANP32A	329.400	319.160	389.393
ANP32A /// ANP32D	10.933	9.888	17.080
ANP32B	3015.167	3240.427	2753.110
ANP32C	15.811	13.248	15.400
ANP32E	393.563	327.634	422.107
ANPEP	160.152	105.674	91.480
ANTXR1	180.881	380.049	185.510
ANTXR2	157.539	170.092	67.900
ANUBL1	17.522	18.536	43.590
ANXA1	1920.656	1937.971	773.960
ANXA10	18.222	15.078	12.200
ANXA11	712.141	552.919	208.080
ANXA13	21.422	17.247	14.760
ANXA2	6804.586	6094.290	3776.260
ANXA2P1	43.878	44.153	211.880
