gene_symbol	ACD	ACN	ALO
SELPLG	244.400	140.615	66.620
SELS	1140.378	1839.929	781.740
SELT	474.956	594.337	607.730
SEMA3A	18.681	19.483	20.700
SEMA3B	58.272	65.739	113.590
SEMA3C	274.617	587.277	300.810
SEMA3D	14.933	18.049	41.840
SEMA3E	12.489	14.749	13.640
SEMA3F	366.781	347.580	469.747
SEMA3G	121.367	265.499	556.340
SEMA4A	144.172	117.908	102.280
SEMA4B	331.800	340.408	179.240
SEMA4C	369.333	257.919	378.870
SEMA4D	188.128	108.792	131.570
SEMA4F	64.548	62.632	49.520
SEMA4G	39.311	36.536	32.080
SEMA5A	161.889	203.768	213.027
SEMA5B	131.222	170.789	85.700
SEMA6A	84.942	65.572	122.496
SEMA6B	73.996	79.014	115.333
SEMA6C	73.167	63.775	97.440
SEMA6D	30.771	40.648	46.624
SEMA7A	80.961	85.448	60.510
SEMG1	9.433	9.473	9.020
SEMG2	9.156	8.562	9.280
SENP1	61.450	75.192	65.960
SENP2	101.796	109.496	140.673
SENP3	104.970	109.931	123.220
SENP5	92.726	119.338	167.273
SENP6	149.911	156.631	129.820
SENP7	41.528	36.020	94.840
SENP8	21.267	32.058	22.560
SEP15	1199.300	1238.308	1011.760
SEPHS1	231.463	243.002	223.920
SEPHS2	892.156	1443.277	585.800
SEPN1	154.211	199.627	156.940
SEPP1	1040.561	1249.443	1747.370
SEPSECS	34.971	41.302	33.980
SEPT1	73.444	33.312	141.100
SEPT10	718.128	818.320	402.070
SEPT11	143.189	292.544	254.085
SEPT12	47.033	46.298	22.920
SEPT2	1042.269	736.635	642.816
SEPT3	60.989	71.748	55.860
SEPT4	35.219	37.163	42.333
SEPT6	108.860	109.352	84.600
SEPT7	870.189	985.213	605.587
SEPT7L	22.244	21.895	17.300
SEPT7P2	34.861	35.917	75.315
SEPT8	268.096	224.957	209.727
SEPT9	825.769	685.147	205.190
SEPW1	2142.728	2263.469	1556.890
SEPX1	492.578	1498.144	594.800
SERAC1	29.122	60.405	29.220
SERBP1	1205.640	1326.719	987.789
SERF1A /// SERF1B	162.148	224.438	245.513
SERF2	2113.374	2173.717	1352.340
SERGEF	56.614	49.990	85.090
SERHL /// SERHL2	48.856	66.292	56.980
SERHL2	36.678	50.166	58.200
SERINC1	1366.811	1836.584	1678.320
SERINC2	113.911	181.193	121.340
SERINC3	885.142	1063.857	808.660
SERINC5	698.689	1119.743	570.040
SERP1	895.739	1038.220	474.080
SERP2	17.424	17.808	15.520
SERPINA1	53.272	124.453	60.515
SERPINA10	23.800	24.484	24.120
SERPINA12	463.167	468.152	514.560
SERPINA3	180.289	610.070	497.980
SERPINA4	32.567	28.041	47.120
SERPINA5	103.311	88.313	49.640
SERPINA6	22.856	23.198	21.760
SERPINA7	13.456	12.330	18.120
SERPINA9	134.378	104.643	89.760
SERPINB1	374.517	612.762	127.780
SERPINB10	17.111	14.182	15.040
SERPINB11	10.356	9.907	12.820
SERPINB12	34.956	61.150	146.660
SERPINB13	219.376	170.708	109.027
SERPINB2	334.311	591.343	375.980
SERPINB3	1177.783	2552.157	186.170
SERPINB3 /// SERPINB4	1787.433	3958.401	82.720
SERPINB4	1629.333	2678.545	13.700
SERPINB5	1262.578	965.760	728.100
SERPINB6	330.250	256.617	116.130
SERPINB7	331.078	432.639	104.600
SERPINB8	92.417	116.401	85.560
SERPINB9	152.667	143.170	39.680
SERPINC1	13.561	12.532	15.830
SERPIND1	12.189	13.578	12.100
SERPINE1	75.744	64.794	36.460
SERPINE2	450.494	1039.608	212.410
SERPINF1	2258.267	2854.583	1223.200
SERPINF2	50.600	48.400	26.640
SERPING1	1305.522	937.406	656.100
SERPINH1	1044.044	598.886	431.240
SERPINI1	64.822	107.165	36.460
SERPINI2	10.544	10.274	10.540
SERTAD1	263.011	328.510	363.980
SERTAD2	653.194	679.547	456.450
SERTAD3	143.100	181.069	195.240
SERTAD4	42.669	79.189	89.450
SESN1	300.867	377.512	211.340
SESN2	98.922	126.974	89.870
SESN3	15.800	23.280	207.453
SESTD1	206.404	236.883	117.600
SET	2337.104	2524.622	1855.748
SETBP1	185.856	223.738	118.420
SETD1A	77.111	59.362	49.940
SETD1B	636.111	606.280	532.480
SETD2	182.244	206.150	242.493
SETD3	455.694	517.260	163.780
SETD4	65.415	73.148	56.313
SETD5	251.347	178.650	245.848
SETD6	164.600	149.240	230.450
SETD7	583.239	832.032	259.820
SETD8	109.026	130.291	186.467
SETDB1	128.733	127.548	103.690
SETDB2	38.424	41.535	37.830
SETMAR	42.878	41.076	61.187
SETX	199.722	212.679	115.867
SEZ6	30.483	29.268	25.420
SEZ6L	24.381	23.748	26.253
SEZ6L2	65.380	53.338	33.956
SF1	397.493	271.353	346.067
SF3A1	313.431	362.304	252.185
SF3A2	160.700	226.351	69.080
SF3A3	423.811	401.628	330.620
SF3B1	1547.686	1028.897	834.000
SF3B14	733.372	771.238	666.320
SF3B2	443.906	323.890	609.800
SF3B3	271.839	259.349	280.630
SF3B4	340.322	491.842	58.080
SF3B5	1205.622	973.465	392.740
SFI1	95.744	70.400	188.025
SFMBT1	61.083	65.130	76.700
SFMBT2	49.044	46.282	25.690
SFN	7785.352	6479.970	8724.933
SFPQ	673.030	739.799	1023.700
SFRP1	270.275	287.273	737.385
SFRP2	845.794	1613.277	300.840
SFRP4	19.506	28.857	13.640
SFRP5	44.267	46.516	78.200
SFRS11	27.344	10.201	48.960
SFRS15	81.578	79.073	157.940
SFRS18	415.804	247.052	329.013
SFRS2B	16.722	13.971	83.140
SFRS2IP	40.622	18.745	13.360
SFRS3	175.717	44.328	154.000
SFRS4	336.150	51.666	36.700
SFSWAP	208.825	176.754	176.120
SFT2D1	217.549	354.992	146.860
SFT2D2	95.678	175.547	699.300
SFT2D3	110.567	135.320	87.200
SFTA1P	15.111	14.912	22.300
SFTA2	12.667	14.263	16.960
SFTA3	8.700	7.566	8.000
SFTPA1 /// SFTPA2	12.889	11.589	15.680
SFTPA2	22.067	17.229	19.640
SFTPB	60.658	39.546	45.520
SFTPC	60.876	60.231	222.112
SFTPD	34.444	36.751	46.280
SFXN1	99.537	107.501	121.280
SFXN2	106.678	108.043	56.380
SFXN3	290.193	325.044	308.200
SFXN4	135.256	136.475	94.275
SFXN5	53.581	55.561	63.150
SGCA	47.511	34.285	55.320
SGCB	118.750	154.314	220.715
SGCD	35.363	61.424	28.860
SGCE	221.244	316.009	253.500
SGCG	45.756	72.664	19.720
SGCZ	11.333	12.929	19.700
SGIP1	13.311	16.600	9.180
SGK1	1904.433	2601.433	2507.020
SGK196	34.033	33.217	56.700
SGK2	43.639	112.730	66.720
SGK223	483.967	402.911	144.080
SGK269	339.617	350.669	141.970
SGK3	349.911	440.725	141.640
SGK494	43.200	26.830	19.650
SGMS1	264.489	307.777	198.260
SGMS2	68.093	122.766	61.800
SGOL1	18.117	17.031	14.920
SGOL2	33.044	46.969	23.670
SGPL1	260.211	403.290	900.967
SGPP1	101.689	126.152	61.490
SGPP2	87.856	227.698	308.540
SGSH	275.028	241.180	134.340
SGSM1	33.781	31.409	24.413
SGSM2	359.200	233.353	186.253
SGSM3	149.544	140.657	223.493
SGTA	200.811	219.480	151.620
SGTB	66.417	89.486	45.420
SH2B1	150.794	108.142	97.590
SH2B2	196.333	84.380	33.940
SH2B3	308.367	378.355	49.260
SH2D1A	49.253	34.224	35.675
SH2D1B	16.150	16.942	13.040
SH2D2A	85.367	42.759	23.040
SH2D3A	52.289	37.884	63.000
SH2D3C	52.711	54.599	42.060
SH2D4A	84.122	83.679	148.180
SH2D4B	16.656	16.206	13.200
SH2D5	39.256	44.976	45.480
SH2D6	35.300	33.418	43.360
SH3BGR	42.700	70.718	79.960
SH3BGRL	816.333	923.470	964.420
SH3BGRL2	154.800	258.476	188.640
SH3BGRL3	1644.011	2163.504	3984.840
SH3BP1	130.222	113.816	20.660
SH3BP2	89.022	98.067	143.688
SH3BP4	441.900	531.236	253.780
SH3BP5	567.367	899.751	865.230
SH3BP5L	107.500	140.528	64.500
SH3D19	249.928	376.341	691.580
SH3D20	18.478	20.560	24.600
SH3GL1	360.456	333.295	379.720
SH3GL1P1	10.933	9.791	9.940
SH3GL1P2	24.493	25.177	56.087
SH3GL2	12.511	11.640	9.680
SH3GL3	27.200	34.817	27.473
SH3GLB1	760.037	1066.359	578.727
SH3GLB2	104.722	90.452	77.160
SH3KBP1	485.885	759.860	142.313
SH3PXD2A	211.552	265.857	342.327
SH3PXD2B	132.472	260.165	128.350
SH3RF1	80.239	151.033	80.020
SH3RF2	178.885	147.598	245.647
SH3RF3	108.011	114.247	48.520
SH3TC1	79.961	68.252	71.120
SH3TC2	12.819	12.612	15.067
SH3YL1	567.300	602.604	361.450
SHANK1	27.400	27.399	32.200
SHANK2	18.248	22.233	18.193
SHANK3	193.878	147.557	53.640
SHARPIN	176.767	155.866	212.520
SHB	88.384	125.085	194.884
SHBG	39.178	33.549	40.920
SHC1	795.567	743.792	390.050
SHC3	49.793	60.083	45.713
SHC4	18.500	29.860	21.830
SHCBP1	37.600	69.687	25.460
SHD	29.456	28.327	53.200
SHE	160.522	251.919	65.500
SHF	50.756	65.593	209.420
SHFM1	1295.989	842.491	2991.460
SHH	37.433	35.565	108.140
SHISA2	24.489	90.049	63.400
SHISA3	12.011	12.509	9.140
SHISA4	61.344	51.054	61.520
SHISA5	668.522	443.838	787.420
SHISA6	12.578	18.144	11.040
SHISA7	53.944	59.180	51.340
SHISA9	18.506	23.193	25.470
SHKBP1	99.189	95.199	139.380
SHMT1	128.636	141.333	108.215
SHMT2	339.963	307.626	406.187
SHOC2	933.844	993.064	418.440
SHOX	23.756	25.179	14.980
SHOX2	24.752	42.018	54.487
SHPK	90.611	134.223	100.880
SHPK /// TRPV1	27.689	24.740	19.760
SHPRH	94.767	114.858	90.060
SHQ1	237.756	284.369	125.890
SHROOM1	64.226	58.957	48.807
SHROOM2	45.467	117.587	42.820
SHROOM3	36.730	57.192	70.913
SHROOM4	45.117	47.003	34.540
SI	8.067	7.627	7.660
SIAE	37.906	59.440	35.470
SIAH1	190.696	309.981	208.880
SIAH2	172.811	227.830	150.360
